"id","name"
"1","ANTIOQUIA"
"2","ATLÁNTICO"
"3","BOGOTÁ, D.C."
"4","BOLÍVAR"
"5","BOYACÁ"
"6","CALDAS"
"7","CAQUETÁ"
"8","CAUCA"
"9","CESAR"
"10","CÓRDOBA"
"11","CUNDINAMARCA"
"12","CHOCÓ"
"13","HUILA"
"14","LA GUAJIRA"
"15","MAGDALENA"
"16","META"
"17","NARIÑO"
"18","NORTE DE SANTANDER"
"19","QUINDIO"
"20","RISARALDA"
"21","SANTANDER"
"22","SUCRE"
"23","TOLIMA"
"24","VALLE DEL CAUCA"
"25","ARAUCA"
"26","CASANARE"
"27","PUTUMAYO"
"28","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA"
"29","AMAZONAS"
"30","GUAINÍA"
"31","GUAVIARE"
"32","VAUPÉS"
"33","VICHADA"
